,Time,Temperature,Year,hour,temp maximal,temp minimal,ET,hour1
44,2022-05-23 18:00:00,19.767958976454825,2022-05-23,18:00:00,23.378804993228286,17.45759794776437,21.01451127788248,18
45,2022-05-24 06:00:00,15.713751770193342,2022-05-24,06:00:00,23.36239616974335,17.358524414150136,18.875885612673404,06
46,2022-05-24 09:00:00,18.69223762209014,2022-05-24,09:00:00,23.36239616974335,17.358524414150136,20.55445415958079,09
47,2022-05-24 12:00:00,21.64246652802801,2022-05-24,12:00:00,23.36239616974335,17.358524414150136,22.217098098121102,12
48,2022-05-24 15:00:00,21.527251463867966,2022-05-24,15:00:00,23.36239616974335,17.358524414150136,22.152166991362343,15
49,2022-05-24 18:00:00,19.668609614928627,2022-05-24,18:00:00,23.36239616974335,17.358524414150136,21.104702641109164,18
50,2022-05-25 06:00:00,15.74678541170849,2022-05-25,06:00:00,23.099929013941633,17.10740209414138,18.876642356256802,06
51,2022-05-25 09:00:00,18.75738700131702,2022-05-25,09:00:00,23.099929013941633,17.10740209414138,20.571706430737734,09
52,2022-05-25 12:00:00,21.73931233152112,2022-05-25,12:00:00,23.099929013941633,17.10740209414138,22.250624862675092,12
53,2022-05-25 15:00:00,21.65524245392022,2022-05-25,15:00:00,23.099929013941633,17.10740209414138,22.203290858149497,15
54,2022-05-25 18:00:00,19.82680677738327,2022-05-25,18:00:00,23.099929013941633,17.10740209414138,21.173823645186246,18
55,2022-05-26 06:00:00,15.997907731807494,2022-05-26,06:00:00,23.00308321041351,17.074368452626736,18.916503238423203,06
56,2022-05-26 09:00:00,19.018214979296943,2022-05-26,09:00:00,23.00308321041351,17.074368452626736,20.607953528411603,09
57,2022-05-26 12:00:00,22.00177948735739,2022-05-26,12:00:00,23.00308321041351,17.074368452626736,22.278826932616674,12
58,2022-05-26 15:00:00,21.910429539552915,2022-05-26,15:00:00,23.00308321041351,17.074368452626736,22.22766859571809,15
59,2022-05-26 18:00:00,20.065495038758613,2022-05-26,18:00:00,23.00308321041351,17.074368452626736,21.1944574881488,18
60,2022-05-27 06:00:00,16.096981265331497,2022-05-27,06:00:00,23.166176771314888,17.288192604194784,18.89064322791414,06
61,2022-05-27 09:00:00,22.018188310807442,2022-05-27,09:00:00,23.166176771314888,17.288192604194784,22.192454829680635,09
62,2022-05-27 12:00:00,22.018188310807442,2022-05-27,12:00:00,23.166176771314888,17.288192604194784,22.192454829680635,12
63,2022-05-27 15:00:00,21.892827973299685,2022-05-27,15:00:00,23.166176771314888,17.288192604194784,22.12255080274736,15
64,2022-05-27 18:00:00,20.022653678070853,2022-05-27,18:00:00,23.166176771314888,17.288192604194784,21.0796953278607,18
65,2022-05-28 06:00:00,16.072238147385676,2022-05-28,06:00:00,23.3272060612714,17.35013635649163,19.035285009734515,06
66,2022-05-28 09:00:00,19.083401635774663,2022-05-28,09:00:00,23.3272060612714,17.35013635649163,20.728477494167553,09
67,2022-05-28 12:00:00,22.068356975253494,2022-05-28,12:00:00,23.3272060612714,17.35013635649163,22.406933003694814,12
68,2022-05-28 15:00:00,21.988694509116545,2022-05-28,15:00:00,23.3272060612714,17.35013635649163,22.36213839540649,15
69,2022-05-28 18:00:00,20.164728480372304,2022-05-28,18:00:00,23.3272060612714,17.35013635649163,21.336513057015043,18
70,2022-05-29 06:00:00,16.329673844664764,2022-05-29,06:00:00,23.088819487060594,17.092700659212095,19.210581814887597,06
71,2022-05-29 09:00:00,19.338622801033896,2022-05-29,09:00:00,23.088819487060594,17.092700659212095,20.90522305849453,09
72,2022-05-29 12:00:00,22.30674354946462,2022-05-29,12:00:00,23.088819487060594,17.092700659212095,22.57686983922482,12
73,2022-05-29 15:00:00,22.19646182453927,2022-05-29,15:00:00,23.088819487060594,17.092700659212095,22.51475912808131,15
74,2022-05-29 18:00:00,20.32996713756454,2022-05-29,18:00:00,23.088819487060594,17.092700659212095,21.463548581346938,18
75,2022-05-30 06:00:00,16.267730092368655,2022-05-30,06:00:00,23.038650822614095,17.11744377715798,19.05553397617629,06
76,2022-05-30 09:00:00,19.223298548029792,2022-05-30,09:00:00,23.038650822614095,17.11744377715798,20.70968052200987,09
77,2022-05-30 12:00:00,22.14571425952091,2022-05-30,12:00:00,23.038650822614095,17.11744377715798,22.345272431712896,12
78,2022-05-30 15:00:00,21.999500975922874,2022-05-30,15:00:00,23.038650822614095,17.11744377715798,22.263441067747895,15
79,2022-05-30 18:00:00,20.108113147056436,2022-05-30,18:00:00,23.038650822614095,17.11744377715798,21.204885770895114,18
80,2022-05-31 06:00:00,16.05390594080058,2022-05-31,06:00:00,23.022241999164496,17.018370243536765,19.0675843886405,06
81,2022-05-31 09:00:00,19.032391792690998,2022-05-31,09:00:00,23.022241999164496,17.018370243536765,20.74615293554912,09
82,2022-05-31 12:00:00,21.982620698606965,2022-05-31,12:00:00,23.022241999164496,17.018370243536765,22.408796874081865,12
83,2022-05-31 15:00:00,21.8674056344609,2022-05-31,15:00:00,23.022241999164496,17.018370243536765,22.343865767330797,15
84,2022-05-31 18:00:00,20.008763785565552,2022-05-31,18:00:00,23.022241999164496,17.018370243536765,21.2964014170994,18
85,2022-06-01 06:00:00,16.086939582315008,2022-06-01,06:00:00,22.75977484332768,16.767247923535425,19.068159930794668,06
